985000 | INFO  | P1 | MONO | OUT src=0001 tgt=1110 data=cc
985000 | INFO  | P2 | MONO | OUT src=0001 tgt=1110 data=cc
985000 | INFO  | P3 | MONO | OUT src=0100 tgt=1111 data=ac
995000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=0001 data=4e cnt=23
995000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0100 data=f2 cnt=23
995000 | INFO  | P0 | MONO | OUT src=0010 tgt=0001 data=80
995000 | INFO  | P1 | DRV  | src=0010 tgt=0001 data=4e gap=1
995000 | INFO  | P3 | DRV  | src=1000 tgt=0100 data=f2 gap=0
995000 | INFO  | P3 | MONO | OUT src=1000 tgt=1111 data=09
1005000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1110 data=20 cnt=21
1005000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=0001 data=e0 cnt=24
1005000 | INFO  | P0 | DRV  | src=0001 tgt=1110 data=20 gap=1
1005000 | INFO  | P0 | MONO | OUT src=0100 tgt=1011 data=48
1005000 | INFO  | P1 | MONO | OUT src=0100 tgt=1011 data=48
1005000 | INFO  | P2 | DRV  | src=0100 tgt=0001 data=e0 gap=1
1005000 | INFO  | P3 | MONO | OUT src=0001 tgt=1110 data=cc
1015000 | INFO  | P0 | MONO | OUT src=0010 tgt=0001 data=c5
1015000 | INFO  | P1 | MONO | OUT src=1000 tgt=0110 data=c2
1015000 | INFO  | P2 | MONO | OUT src=1000 tgt=0110 data=c2
1015000 | INFO  | P3 | MONO | OUT src=0100 tgt=1011 data=48
1025000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1111 data=66 cnt=24
1025000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0001 data=51 cnt=24
1025000 | INFO  | P1 | DRV  | src=0010 tgt=1111 data=66 gap=1
1025000 | INFO  | P1 | MONO | OUT src=0001 tgt=1110 data=53
1025000 | INFO  | P2 | MONO | OUT src=0001 tgt=1110 data=53
1025000 | INFO  | P3 | DRV  | src=1000 tgt=0001 data=51 gap=1
1025000 | INFO  | P3 | MONO | OUT src=0001 tgt=1110 data=53
1035000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1111 data=17 cnt=22
1035000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=0001 data=da cnt=25
1035000 | INFO  | P0 | DRV  | src=0001 tgt=1111 data=17 gap=1
1035000 | INFO  | P0 | MONO | OUT src=0100 tgt=1011 data=06
1035000 | INFO  | P1 | MONO | OUT src=0100 tgt=1011 data=06
1035000 | INFO  | P2 | DRV  | src=0100 tgt=0001 data=da gap=1
1035000 | INFO  | P3 | MONO | OUT src=0100 tgt=1011 data=06
1045000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1000 data=66 cnt=25
1045000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0100 data=e6 cnt=25
1045000 | INFO  | P0 | MONO | OUT src=1000 tgt=0001 data=f5
1045000 | INFO  | P1 | DRV  | src=0010 tgt=1000 data=66 gap=0
1045000 | INFO  | P1 | MONO | OUT src=0001 tgt=1111 data=24
1045000 | INFO  | P2 | MONO | OUT src=0001 tgt=1111 data=24
1045000 | INFO  | P3 | DRV  | src=1000 tgt=0100 data=e6 gap=0
1045000 | INFO  | P3 | MONO | OUT src=0001 tgt=1111 data=24
1055000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1000 data=dd cnt=23
1055000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=0001 data=fd cnt=26
1055000 | INFO  | P0 | DRV  | src=0001 tgt=1000 data=dd gap=0
1055000 | INFO  | P0 | MONO | OUT src=0001 tgt=1111 data=24
1055000 | INFO  | P2 | DRV  | src=0100 tgt=0001 data=fd gap=0
1055000 | INFO  | P3 | MONO | OUT src=0100 tgt=1001 data=b7
1065000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0100 data=d2 cnt=26
1065000 | INFO  | P0 | MONO | OUT src=0010 tgt=0001 data=06
1065000 | INFO  | P2 | MONO | OUT src=1000 tgt=0100 data=f2
1065000 | INFO  | P3 | DRV  | src=1000 tgt=0100 data=d2 gap=0
1075000 | WARN  | P1 | MONI | DROP_FULL src=0010 tgt=1111 data=76
1075000 | INFO  | P0 | MONO | OUT src=0100 tgt=1001 data=b7
1075000 | INFO  | P1 | DRV  | src=0010 tgt=1111 data=76 gap=1
1075000 | INFO  | P1 | MONO | OUT src=0001 tgt=1110 data=20
1075000 | INFO  | P2 | MONO | OUT src=0001 tgt=1110 data=20
1075000 | INFO  | P3 | MONO | OUT src=0001 tgt=1110 data=20
1085000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1100 data=ba cnt=24
1085000 | WARN  | P2 | MONI | DROP_FULL src=0100 tgt=0001 data=7b
1085000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=0001 data=3a cnt=27
1085000 | INFO  | P0 | DRV  | src=0001 tgt=1100 data=ba gap=1
1085000 | INFO  | P0 | MONO | OUT src=1000 tgt=0001 data=51
1085000 | INFO  | P2 | DRV  | src=0100 tgt=0001 data=7b gap=1
1085000 | INFO  | P3 | DRV  | src=1000 tgt=0001 data=3a gap=0
1095000 | INFO  | P0 | MONO | OUT src=0001 tgt=1111 data=17
1095000 | INFO  | P1 | MONO | OUT src=0001 tgt=1111 data=17
1095000 | INFO  | P2 | MONO | OUT src=0001 tgt=1111 data=17
1095000 | INFO  | P3 | MONO | OUT src=0001 tgt=1111 data=17
1105000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1010 data=29 cnt=25
1105000 | INFO  | P1 | MONI | ENQ_EXP src=0010 tgt=1111 data=bd cnt=26
1105000 | INFO  | P2 | MONI | ENQ_EXP src=0100 tgt=1011 data=8b cnt=27
1105000 | INFO  | P0 | DRV  | src=0001 tgt=1010 data=29 gap=0
1105000 | INFO  | P0 | MONO | OUT src=0010 tgt=0001 data=4e
1105000 | INFO  | P1 | DRV  | src=0010 tgt=1111 data=bd gap=1
1105000 | INFO  | P2 | DRV  | src=0100 tgt=1011 data=8b gap=0
1105000 | INFO  | P2 | MONO | OUT src=1000 tgt=0100 data=e6
1115000 | INFO  | P3 | MONI | ENQ_EXP src=1000 tgt=1111 data=b7 cnt=28
1115000 | INFO  | P0 | MONO | OUT src=0100 tgt=0001 data=e0
1115000 | INFO  | P3 | DRV  | src=1000 tgt=1111 data=b7 gap=1
1115000 | INFO  | P3 | MONO | OUT src=0001 tgt=1000 data=dd
1125000 | INFO  | P0 | MONI | ENQ_EXP src=0001 tgt=1000 data=43 cnt=26
1125000 | INFO  | P0 | DRV  | src=0001 tgt=1000 data=43 gap=0
1125000 | INFO  | P0 | MONO | OUT src=0010 tgt=1111 data=66
1125000 | INFO  | P1 | MONO | OUT src=0010 tgt=1111 data=66
1125000 | INFO  | P2 | MONO | OUT src=0010 tgt=1111 data=66
